"Formation 
professionnelle","Urbain","Rural","National"
"","","Masculin  Féminin  Ensemble  Masculin  Féminin  Ensemble  Masculin  Féminin  Ensemble",""
"Aucun","77,8 
76,6 
77,4","91,8 
93,5 
92,2","82,7 
81,5 
82,4"
"Formation formelle","13,4 
17,9 
14,9","4,1 
4,0 
4,1","10,2 
13,8 
11,3"
"Formation informelle","8,7 
5,5 
7,7","4,1 
2,6 
3,7","7,1 
4,6 
6,4"
"Total","100,0 
100,0 
100,0","100,0 
100,0 
100,0","100,0 
100,0 
100,0"
